iter	Logloss
0	0.6904623152
1	0.6876775823
2	0.6850356815
3	0.6827852202
4	0.6808406137
5	0.6790827847
6	0.6770235321
7	0.6753033237
8	0.6737489639
9	0.6722258678
10	0.6708712943
11	0.6695212602
12	0.668371268
13	0.6673543395
14	0.6663172752
15	0.6654694275
16	0.6640697912
17	0.6631770567
18	0.6625380547
19	0.6616208935
20	0.6607466691
21	0.6603245
22	0.659669247
23	0.6589946828
24	0.6583830643
25	0.6578466783
26	0.6573268091
27	0.6566892715
28	0.6561833675
29	0.6553034348
30	0.6549019938
31	0.6543891958
32	0.6540174976
33	0.6537431792
34	0.6533261936
35	0.6528190463
36	0.6525074542
37	0.6520908607
38	0.6517581954
39	0.6514754723
40	0.6511920205
41	0.6508187164
42	0.6505652598
43	0.6502587058
44	0.6499847256
45	0.6496640121
46	0.6494211131
47	0.6491801443
48	0.6490109809
49	0.6488619001
50	0.6486147818
51	0.6480310239
52	0.6478313807
53	0.6474750046
54	0.6473410749
55	0.6467746896
56	0.6465954835
57	0.6464346372
58	0.6462068517
59	0.6459938328
60	0.6458459286
61	0.6457376141
62	0.6455327109
63	0.6451405578
64	0.6449913187
65	0.644823533
66	0.6446665698
67	0.6444448642
68	0.644327232
69	0.6441268506
70	0.6437940446
71	0.6436596825
72	0.6433842186
73	0.6432118144
74	0.6430162179
75	0.6429104717
76	0.6425959943
77	0.6424401912
78	0.6423094326
79	0.6420216834
80	0.641887985
81	0.6416430061
82	0.6413897645
83	0.6412186249
84	0.6411077638
85	0.6409481364
86	0.6406720998
87	0.6405581697
88	0.6403507977
89	0.6401741282
90	0.6400602907
91	0.6399120312
92	0.6397512498
93	0.6396255368
94	0.6395203134
95	0.6393921438
96	0.6392789976
97	0.6390648939
98	0.63897381
99	0.6388572975
100	0.6387925176
101	0.6387233215
102	0.6386440509
103	0.6384250758
104	0.6382673994
105	0.6380225149
106	0.6378718273
107	0.6377708798
108	0.6375803587
109	0.6374259215
110	0.6373156775
111	0.6372156472
112	0.637096014
113	0.6370414331
114	0.6368797875
115	0.6366909947
116	0.6365618639
117	0.6364649309
118	0.6363548213
119	0.6361214131
120	0.6360254299
121	0.635907709
122	0.6357423657
123	0.6356878915
124	0.6356024676
125	0.635486573
126	0.6354396129
127	0.635226828
128	0.6351039087
129	0.6349445243
130	0.6348470185
131	0.634711188
132	0.6346319229
133	0.6345132469
134	0.6344517973
135	0.634352948
136	0.6341387811
137	0.6340439755
138	0.6339494163
139	0.6338243254
140	0.6335609605
141	0.6334502472
142	0.6326929014
143	0.6326006916
144	0.6325393478
145	0.6322987999
146	0.632203356
147	0.6320004144
148	0.6319576746
149	0.6319106449
150	0.6318143083
151	0.6316069381
152	0.6315036806
153	0.6313948774
154	0.6312790814
155	0.6311912685
156	0.6310301123
157	0.6309733555
158	0.6306682717
159	0.6304397867
160	0.6304032538
161	0.6303084485
162	0.63015603
163	0.630013069
164	0.6297941498
165	0.6297016274
166	0.6296331623
167	0.6295499071
168	0.6294666316
169	0.6293736917
170	0.6292729901
171	0.6290126799
172	0.6289680427
173	0.6286133258
174	0.6285221615
175	0.6283779136
176	0.6282795164
177	0.6281583676
178	0.6279927227
179	0.6279110952
180	0.6277322833
181	0.6274976763
182	0.6272896585
183	0.6272174606
184	0.627120698
185	0.6269775227
186	0.6269450171
187	0.6268318852
188	0.6267259305
189	0.6265938306
190	0.6263810684
191	0.6260773
192	0.6259328009
193	0.6258756893
194	0.6257448386
195	0.6256063716
196	0.6255190787
197	0.6254170469
198	0.6252968472
199	0.6251757298
