iter	Passed	Remaining
0	190	37866
1	220	21864
2	247	16272
3	272	13353
4	298	11655
5	379	12259
6	483	13344
7	514	12350
8	542	11508
9	571	10850
10	592	10181
11	666	10435
12	734	10565
13	762	10124
14	788	9721
15	813	9359
16	838	9021
17	864	8736
18	887	8452
19	931	8385
20	1013	8640
21	1050	8499
22	1083	8339
23	1111	8149
24	1140	7980
25	1165	7802
26	1189	7624
27	1216	7470
28	1257	7413
29	1370	7766
30	1406	7669
31	1446	7594
32	1473	7458
33	1497	7310
34	1521	7170
35	1604	7307
36	1675	7382
37	1707	7281
38	1734	7159
39	1762	7048
40	1786	6927
41	1810	6811
42	1846	6742
43	1943	6890
44	1981	6826
45	2013	6739
46	2041	6644
47	2067	6546
48	2096	6459
49	2120	6362
50	2146	6270
51	2168	6172
52	2191	6078
53	2213	5985
54	2290	6039
55	2353	6050
56	2383	5978
57	2409	5897
58	2436	5823
59	2460	5741
60	2482	5657
61	2576	5733
62	2616	5690
63	2647	5625
64	2688	5583
65	2718	5520
66	2744	5447
67	2771	5379
68	2793	5304
69	2855	5302
70	2929	5323
71	2964	5270
72	2995	5210
73	3025	5151
74	3072	5120
75	3136	5117
76	3227	5155
77	3257	5094
78	3279	5023
79	3305	4958
80	3331	4893
81	3353	4825
82	3377	4761
83	3412	4711
84	3516	4757
85	3549	4704
86	3577	4647
87	3607	4590
88	3632	4530
89	3657	4470
90	3762	4506
91	3800	4461
92	3831	4408
93	3859	4352
94	3886	4295
95	3913	4239
96	3945	4189
97	3971	4133
98	4007	4088
99	4091	4091
100	4116	4034
101	4139	3976
102	4161	3918
103	4196	3873
104	4273	3866
105	4310	3822
106	4339	3771
107	4365	3718
108	4392	3667
109	4418	3614
110	4440	3560
111	4463	3506
112	4569	3518
113	4603	3472
114	4641	3430
115	4671	3382
116	4699	3333
117	4725	3284
118	4752	3234
119	4777	3185
120	4823	3149
121	4896	3130
122	4929	3085
123	4955	3037
124	4979	2987
125	5002	2938
126	5025	2888
127	5134	2888
128	5161	2840
129	5185	2792
130	5210	2744
131	5234	2696
132	5256	2647
133	5344	2632
134	5403	2601
135	5437	2558
136	5469	2515
137	5497	2469
138	5523	2424
139	5550	2378
140	5574	2332
141	5600	2287
142	5720	2280
143	5762	2240
144	5790	2196
145	5822	2153
146	5849	2109
147	5875	2064
148	5902	2020
149	5924	1974
150	5946	1929
151	5994	1892
152	6092	1871
153	6128	1830
154	6156	1787
155	6182	1743
156	6209	1700
157	6233	1656
158	6259	1614
159	6284	1571
160	6307	1527
161	6362	1492
162	6446	1463
163	6485	1423
164	6518	1382
165	6550	1341
166	6576	1299
167	6603	1257
168	6627	1215
169	6653	1174
170	6677	1132
171	6709	1092
172	6790	1059
173	6828	1020
174	6862	980
175	6891	939
176	6920	899
177	6948	858
178	6987	819
179	7012	779
180	7039	738
181	7117	703
182	7163	665
183	7187	625
184	7213	584
185	7235	544
186	7259	504
187	7365	470
188	7396	430
189	7429	391
190	7457	351
191	7484	311
192	7510	272
193	7546	233
194	7630	195
195	7672	156
196	7709	117
197	7738	78
198	7765	39
199	7792	0
